osm_id,name,fclass,finalCategory,latitude,longitude
24797714,Gideon Academy,school,Public Service,14.5406976,120.994976
24797863,Landbank,bank,Public Service,14.552457,120.9922402
24797896,Liana's Supermarket,supermarket,Retail,14.5474077,120.9958981
25389001,Landbank,bank,Public Service,14.5274295,120.9978549
25389026,Airport Post Office (EMS),post_office,Public Service,14.5190974,121.000764
25389032,Mercury Drug,pharmacy,Health,14.5220183,120.9966663
25389043,Metrobank,bank,Public Service,14.5276626,120.9969775
25389055,PSBank,bank,Public Service,14.535012,120.9960712
25389063,Savemore Market,supermarket,Retail,14.5379101,120.9999971
25389079,POI-L Medical and Surgical clinic,doctors,Health,14.5355888,120.9963041
25389083,Bentaub Drugstore [small],pharmacy,Health,14.5384325,120.9941861
25389198,Protacio Hospital,hospital,Health,14.5241939,120.9965839
25426119,Farmacia Baclaran,pharmacy,Health,14.5323175,120.9936415
25426127,C-Side Dental Clinic,dentist,Health,14.5329352,120.9938485
25426132,BDO,bank,Public Service,14.5323329,120.9938647
25583815,Pasay Post Office,post_office,Public Service,14.5451612,120.9923713
25583828,Badminton Center,sports_centre,Park/Nature,14.5600596,121.0077967
25583833,CTBC Bank,bank,Public Service,14.5601584,121.0130289
25583862,Mercury Drug,pharmacy,Health,14.5562011,121.0038035
25583867,Chinabank,bank,Public Service,14.5567378,121.0050109
25583879,Pasay Central Fire Station,fire_station,Public Service,14.5493071,121.004251
25583897,BDO,bank,Public Service,14.5468982,120.9966458
25677825,Donsol Fire Station,fire_station,Public Service,12.9064909,123.5968121
25679323,Mercury Drug,pharmacy,Health,13.148774,123.7167402
25679340,BU - College of Business Economics & Management,university,Public Service,13.1484783,123.7173203
25679364,Legaspi City Post Office,post_office,Public Service,13.1553841,123.748906
25679365,"Tourism Oriented Police Station, Donsol",police,Public Service,12.911192,123.588915
25747620,Kalibo Fire Station,fire_station,Public Service,11.7007098,122.3689658
25747623,Rural Bank of Nabas,bank,Public Service,11.8292219,122.0908885
25750823,Makato Police Station,police,Public Service,11.7167242,122.2842894
25767764,Police Station,police,Public Service,11.94087,121.939394
26032624,Mercury Drug,pharmacy,Health,14.5779169,120.9788535
26032791,Metrobank,bank,Public Service,14.5660559,120.9847681
27422253,Addas,water_tower,Other,14.4121132,120.967987
27422254,Addas,water_tower,Other,14.414117,120.9724532
27895288,Landbank,bank,Public Service,14.4356673,121.0095092
30759930,The Children's House School,school,Public Service,14.6499314,121.1181615
30760002,Victoria School,school,Public Service,14.651408,121.1134336
30760141,Minds in Motion Learning Center,school,Public Service,14.646612,121.1151401
30760151,Covenant Children Academy,school,Public Service,14.6455073,121.118793
30760175,DC Integrated School for Early Achievers,school,Public Service,14.6584141,121.1143844
30917615,EastWest Unibank,bank,Public Service,15.8838218,120.5987223
41955369,Sta. Clara Academy,school,Public Service,14.6218221,121.0944032
198498867,Balangkayan Municipal Hall,town_hall,Public Service,11.4730301,125.5107176
243088264,Landbank,bank,Public Service,14.6504148,121.1060395
243088265,Metrobank,bank,Public Service,14.6217327,121.0928346
243088270,Robinsons Supermarket,supermarket,Retail,14.6351915,121.1022754
243987994,Rustan's Fresh Market,supermarket,Retail,14.536142,121.0185959
244888458,Amazing Grace Academy (Annex),school,Public Service,14.4158172,120.9561059
244891111,Vista Verde,water_tower,Other,14.4203925,120.9622802
244891564,Vista Verde,water_tower,Other,14.4205885,120.9562543
245218018,Cherry Homes,water_tower,Other,14.4196366,120.9520296
245224738,Seven Seas NKP Elementry High School,school,Public Service,14.4181774,120.9514185
246769828,Breeze Woods,water_tower,Other,14.4189213,120.9554652
246769839,Mother Of Christ Montessouri Integrated School,school,Public Service,14.4184445,120.9540211
246979432,Breeze Woods,water_tower,Other,14.4195559,120.9551542
253770230,Watsons,pharmacy,Health,14.1680371,121.2435152
254753665,Children's Educational Center,kindergarten,Public Service,13.625325,123.201311
254753681,Ama Computer Learning Center,college,Public Service,13.6244368,123.1846448
254753685,Worldtech Resources Institute,college,Public Service,13.623249,123.18614
254753686,AMA Computer College,college,Public Service,13.629883,123.198359
254753694,STI Naga,college,Public Service,13.6175722,123.1904793
254753698,Naga City Seed Montessori,kindergarten,Public Service,13.624814,123.193894
255049882,Esperanza Flowers,florist,Retail,14.5564209,121.013191
255049912,La Loma Fire Sub-station,fire_station,Public Service,14.6316513,120.9947341
255049917,Makati Police Precint 8,police,Public Service,14.5490107,121.0652569
255049933,Police Community Precinct № 2,police,Public Service,14.4585299,120.9701761
255049936,Police Community Precinc № 2,police,Public Service,14.6634751,120.9840103
255050034,Chinabank,bank,Public Service,14.5408922,120.9925321
255050058,China Bank Savings,bank,Public Service,14.5483091,121.003015
255050167,Philippine College Of Criminology,college,Public Service,14.6018602,120.9832068
255050204,Bscp Billiards Zone,pitch,Other,14.5622,120.991989
255050230,RCBC,bank,Public Service,14.5580425,121.0243357
255050237,Mercury Drug,pharmacy,Health,14.6211192,121.0498626
255050240,Police Community Precinct 2,police,Public Service,14.581231,121.02983
255050241,BPI,bank,Public Service,14.76244,120.9479519
255050264,Asian School Of Christian,school,Public Service,14.6282515,120.9971328
255050283,Manila Central University College of Dentistry,college,Public Service,14.6043351,120.9953029
255050307,St. Joseph Christian School,school,Public Service,14.744116,121.0362583
255050399,Century Savings Bank,bank,Public Service,14.573133,121.0635112
255050410,Metro Drug,pharmacy,Health,14.596071,121.080688
255050411,Fire Boat 2,fire_station,Public Service,14.58886,121.0854791
255050429,Puso Ni Jesus Play School,kindergarten,Public Service,14.560111,121.091186
255050824,Metrobank,bank,Public Service,14.5710011,121.0659958
255051103,Central Mail Exchange Center,post_office,Public Service,14.5194977,121.0005836
255051235,UST Hospital Clinical Division,hospital,Health,14.6122477,120.9898193
255051494,CAA Police Community Precinct 4,police,Public Service,14.457091,120.994751
255051656,Divine Grace School,school,Public Service,14.740521,121.06134
255051892,Sgm Drugstore,pharmacy,Health,14.6445715,121.0222188
255052286,Mercury Drug,pharmacy,Health,14.6232875,120.9991911
255052584,BF Homes Barangay Hall,town_hall,Public Service,14.4457665,121.0271409
255052631,"Capitol Hills Christian School, Inc.",school,Public Service,14.6898669,121.0991363
255052734,Metrobank,bank,Public Service,14.5527945,120.9922065
255052977,Community Precinct No. 2,police,Public Service,14.50036,120.9897
255053387,Pulilan Cockpit,pitch,Other,14.8946197,120.873307
255053609,BPI Family Savings Bank,bank,Public Service,14.5591548,121.0089839
255053941,Pandacan Police Station,police,Public Service,14.5931654,121.0035632
255054475,SPD Police Precinct 1 (SS10),police,Public Service,14.5628034,121.0603958
255054486,Caloocan City Police Community Precint 7,police,Public Service,14.6815301,121.0089111
255054592,China Bank,bank,Public Service,14.5557162,121.0194104
255054901,UCPB,bank,Public Service,14.5528239,121.0166827
255055167,Pcp- 5,police,Public Service,14.5474907,121.0084187
255055431,Divine Mercy College,school,Public Service,14.66118,120.9795047
255055499,Living Stones Christian Academy,school,Public Service,14.5822281,121.0487596
255056185,Mercury Drug,pharmacy,Health,14.5623488,121.0279034
255056363,Mother Gonly Memorial Institute,school,Public Service,14.6420305,121.0215018
255056752,UnionBank,bank,Public Service,14.5547378,121.0206172
255057226,Bureau Of Post Airmail District Center,post_office,Public Service,14.52178,121.000381
255057268,St. Jerome Learning Center (sunrise Learning Schoo,school,Public Service,14.614724,121.0636288
255057513,Children's House Of Learning And Development,school,Public Service,14.70377,121.07154
