osm_id,status,place_id,resolved_name,resolved_lat,resolved_lng,reason
21717872,resolved,ChIJ34h6RjjKlzMRkkZ5JET62uI,Ayala Museum,14.5535827,121.0233285,
24797807,resolved,ChIJPYnycmbJlzMRehGVEWz2PAo,Cartimar Market,14.5508559,120.9975074,
24815678,low_confidence,ChIJKxVXEvA1joARNQHQfZezRS8,Kamakura Japanese Restaurant,37.22552780000001,-121.9826667,distance=11278.4km>5.0km
24915119,resolved,ChIJC8d-NSvKlzMRN741NAKJtjo,Max's Restaurant - Malate,14.5691667,120.9833333,
25248731,resolved,ChIJR-wcWQDJlzMR0WerPOzsxGU,Starbucks - One Ayala,14.551378,121.027928,
25388531,low_confidence,ChIJI5-uxO7DlzMRqsFugYdjyN0,Madonna's Eatery,14.4841583,121.1871737,distance=21.6km>5.0km
25388992,resolved,ChIJnSlggqnOlzMRdsw9huxxmo8,Shakey's,14.5211026,120.9904298,
25388993,resolved,ChIJ39527lLJlzMRG-995DW8bso,McDonald's,14.5274157,120.9972408,
25389025,low_confidence,ChIJBSLviUu4-i0RWLqgmWWQhoY,Pasar Desa Bentot,-2.0591099,115.3271586,distance=1947.7km>5.0km
25389049,resolved,ChIJCR9tI63OlzMRbUIEXuKMCwM,Nichols Airport Hotel,14.5242993,120.9967896,
25389056,resolved,ChIJKXXDcU3JlzMRSac3c5Y76a8,Conrad's Grille,14.526439,120.999614,
25389109,resolved,ChIJjZFW50TJlzMR8ozWK4VgKvE,McDonald's Edsa Taft Rotonda,14.5382783,121.0005802,
25389121,resolved,ChIJqXDUP0XJlzMRDK14fTnPofc,Rotonda Hotel,14.5368467,121.0005038,
25426114,resolved,ChIJU4N8-sHJlzMR6_z4wrPf8o4,Chowking Rbcc Baclaran Roxas,14.5307843,120.9938159,
25426116,resolved,ChIJJ5v6fsPJlzMR2uzpuAhlSTY,Red Ribbon | EDSA Sgt. Mariano,14.5373507,121.0017497,
25426129,resolved,ChIJU4N8-sHJlzMR6_z4wrPf8o4,Chowking Rbcc Baclaran Roxas,14.5307843,120.9938159,
25583800,resolved,ChIJ-fvg7ADJlzMRMMgabVhibJ4,Chowking PRC-Makati,14.5719861,121.015562,
25583923,resolved,ChIJ4XhV2WfJlzMROF33M8fjAtY,McDonald's Taft Libertad,14.547609,120.9988294,
25677575,resolved,ChIJqd76Mn89oTMR6tlQGJBlEmY,Baracuda Seafood And Cocktail,12.9257518,123.5749266,
25677578,resolved,ChIJXUhzaHA9oTMRTsEaCTlW0Ro,Amor Farm Beach Resort,12.9187765,123.5823918,
