osm_id,name,fclass,finalCategory,latitude,longitude,status,reason
24815678,Kamakura Japanese Restaurant,restaurant,Food/Drink,14.5532842,120.995001,low_confidence,distance=11278.4km>5.0km
25388531,Madonna's Cuisine,cafe,Food/Drink,14.5384516,120.994311,low_confidence,distance=21.6km>5.0km
25389025,Bentot,fast_food,Food/Drink,14.5323476,120.9971323,low_confidence,distance=1947.7km>5.0km
25679368,Lola Ermas,restaurant,Food/Drink,12.912339,123.593146,low_confidence,distance=61.5km>5.0km
26032657,Manila Dance and Cultural Arts Center,arts_centre,Attraction,14.5788485,120.9775726,low_confidence,name_similarity=49
206253988,MaryGold Beachfront Inn,hotel,Accommodation,11.1808283,119.3900764,low_confidence,name_similarity=53
206257351,Makinit Hot Springs,attraction,Attraction,11.2899337,119.44678,low_confidence,distance=115.4km>5.0km
253499588,Zark's Burgers,fast_food,Food/Drink,14.1680796,121.2435413,low_confidence,distance=12.1km>5.0km
255049855,Johnny B. Good,restaurant,Food/Drink,14.5523564,121.0256573,zero_results,ZERO_RESULTS
255049908,Project 6 Cooperative Market,marketplace,Retail,14.6629999,121.0366059,low_confidence,name_similarity=36
255049910,Chihuahua,restaurant,Food/Drink,14.5517598,121.0204948,low_confidence,distance=12.9km>5.0km
255052689,J&w Lounge,pub,Food/Drink,14.5670035,121.0238059,low_confidence,name_similarity=53
255058375,Cafe Apassionato,bakery,Food/Drink,14.56491,121.023048,low_confidence,name_similarity=44
255058579,Pho 24,restaurant,Food/Drink,14.5646374,121.0363767,low_confidence,distance=14.2km>5.0km
255058768,Pound by Todd English,restaurant,Food/Drink,14.5510574,121.0503647,low_confidence,name_similarity=52
255059266,Baliwag,fast_food,Food/Drink,14.7620685,120.9483433,low_confidence,distance=23.4km>5.0km
255059456,Chef Robert's Table,restaurant,Food/Drink,14.5105575,120.999087,low_confidence,distance=11.8km>5.0km
255059858,Dampa,restaurant,Food/Drink,14.4945445,120.9916846,low_confidence,distance=5.6km>5.0km
255060020,Valley Vista Sports Club,stadium,Park/Nature,14.485851,121.012519,low_confidence,distance=17.5km>5.0km
255060049,Shinjuku,restaurant,Food/Drink,14.5534904,121.0140029,low_confidence,distance=2998.9km>5.0km
255060145,Zuchini,restaurant,Food/Drink,14.6297352,121.0320469,low_confidence,name_similarity=43
255060511,Willy Balangue,motel,Accommodation,14.578391,120.987457,zero_results,ZERO_RESULTS
255060940,Brothers Burger,fast_food,Food/Drink,14.5483004,121.015404,low_confidence,distance=6.4km>5.0km
255061127,Bbq,restaurant,Food/Drink,14.6861916,121.0901071,low_confidence,distance=6.4km>5.0km
255061268,Seareyna,pub,Food/Drink,14.3153339,120.9152699,low_confidence,distance=25.7km>5.0km
255061351,Sir Liams,hotel,Accommodation,14.7675644,120.9427555,low_confidence,distance=48.6km>5.0km
255061360,Grill 56,restaurant,Food/Drink,14.5813,121.0599509,low_confidence,distance=5.7km>5.0km
255061540,Pancit Malabon,fast_food,Food/Drink,14.6385053,121.0312961,low_confidence,name_similarity=57
255061743,Som's Noodle House,restaurant,Food/Drink,14.5678257,121.0238979,low_confidence,name_similarity=50
255062367,Rvc Commercial Center,mall,Retail,14.4823,121.04589,low_confidence,name_similarity=36
255062916,Lucban,motel,Accommodation,14.551911,120.99887,low_confidence,distance=77.2km>5.0km
255063833,10th Avenue Shopper's Mall,mall,Retail,14.6513409,120.9842406,low_confidence,name_similarity=54
255064481,Coran Ihaw Ihaw Restaurant,restaurant,Food/Drink,14.8155179,120.9501575,low_confidence,distance=22.0km>5.0km
255064823,GPS Station CVT1,tower,Attraction,14.281425,120.9976991,zero_results,ZERO_RESULTS
255065009,Cafe Caruso,restaurant,Food/Drink,14.5654953,121.0225582,low_confidence,name_similarity=55
255065576,Gps Station Rzl,tower,Attraction,14.4824311,121.1879571,zero_results,ZERO_RESULTS
255065746,New Kamameshi Sushi Bar,restaurant,Food/Drink,14.5644823,121.0017881,low_confidence,distance=12.1km>5.0km
255066226,B. U. T. E. L.,tower,Attraction,14.6901443,120.9779578,low_confidence,distance=9680.4km>5.0km
255066581,Latian Resort,hotel,Accommodation,14.77191,120.927787,low_confidence,distance=19.5km>5.0km
255066744,Car Snack,restaurant,Food/Drink,14.563191,121.0139989,low_confidence,name_similarity=56
255067079,Gumbo,restaurant,Food/Drink,14.5765,120.984001,low_confidence,distance=5.1km>5.0km
255068769,Air Force One,pub,Food/Drink,14.4921867,120.9912591,low_confidence,name_similarity=54
255070087,Escolta,restaurant,Food/Drink,14.555593,121.0251829,low_confidence,distance=6.9km>5.0km
255070844,Brazil Brazil,restaurant,Food/Drink,14.5650528,121.0361536,low_confidence,distance=19256.2km>5.0km
255071218,Ryu Ramen & Curry,restaurant,Food/Drink,14.6307342,121.034648,low_confidence,distance=7.6km>5.0km
